品番,商品名_JA,catalog_pages,catalog_info,catalog_usage,catalog_features,catalog_size_material,catalog_evidence,issue_flags
73301,テナックス,"カタログP.59,265",テナックス / 眼鏡店向け作業・販売補助 / 作業や提案をスムーズにし、店頭対応の幅を広げやすい / 眼鏡店の作業や店頭提案を補助する商品です。用途に合わせて使うことで、修理・調整・販売時の対応をスムーズにしやすくします。 / シリコン パ ット ハ ード パ ット パ ット セ ット ミゾセル用両面テープ 鼻 盛 パ ット 溝セル 断面図 ネ 品番 / 幅 3×長さ50×厚み 0.2㎜ ②紙テープをはがす 伸長性があるので、両面のはくり紙をはがして伸ばして頂くと、 NO.141-141 溝セル用両面テープとしても / 本入り 240N299 （極細） No.141-705 粘着付ソフト溝セル,眼鏡店向け作業・販売補助,作業や提案をスムーズにし、店頭対応の幅を広げやすい / 眼鏡店の作業や店頭提案を補助する商品です。用途に合わせて使うことで、修理・調整・販売時の対応をスムーズにしやすくします。,シリコン パ ット ハ ード パ ット パ ット セ ット ミゾセル用両面テープ 鼻 盛 パ ット 溝セル 断面図 ネ 品番 / 幅 3×長さ50×厚み 0.2㎜ ②紙テープをはがす 伸長性があるので、両面のはくり紙をはがして伸ばして頂くと、 NO.141-141 溝セル用両面テープとしても / 本入り 240N299 （極細） No.141-705 粘着付ソフト溝セル,"カタログ参照=カタログP.59,265 ; PDF抽出メモ=Lens Liner No.141-141 溝セル 240N299 Lens Liner Tape 240N1000 No.73301 テナックス シリコン パ ット ハ ード パ ット パ ット セ ット ミゾセル用両面テープ 鼻 盛 パ ット 溝セル 断面図 ネ 品番 || 消 耗 品 ショップ アイテム 単位㎜ Lens Liner Tape 240N1000 No.73301 テナックス POP ラッピング エッシェン バッハ 両面テープ式の溝セル 2シート入り（1シート36 枚） 幅 3×長さ50×厚み... ; 画像=73301_1.png",printed_pages_normalized
AG-5EX,自動溝堀機EX型,カタログP.238,自動溝堀機EX型 / 眼鏡店向け作業・販売補助 / 作業や提案をスムーズにし、店頭対応の幅を広げやすい / 眼鏡店の作業や店頭提案を補助する商品です。用途に合わせて使うことで、修理・調整・販売時の対応をスムーズにしやすくします。 / 計測器 視力測定 加 工 Automatic Lens Groover 240N136000 No.AG-5EX 自動溝掘機 EX型 新ガイドローラの採用で天地の短いレンズにも対応。 軽量＆スリムのニューデザイン。 正確な溝掘加工が簡単操作でより手軽に。 レンズコバ中心の切り込みに便利な ガイドローラー調整付など、 スリムなボディーに最新の機構を満載。 操作...,眼鏡店向け作業・販売補助,作業や提案をスムーズにし、店頭対応の幅を広げやすい / 眼鏡店の作業や店頭提案を補助する商品です。用途に合わせて使うことで、修理・調整・販売時の対応をスムーズにしやすくします。 / 計測器 視力測定 加 工 Automatic Lens Groover 240N136000 No.AG-5EX 自動溝掘機 EX型 新ガイドローラの採用で天地の短いレンズにも対応。 軽量＆スリムのニューデザイン。 正確な溝掘加工が簡単操作でより手軽に。 レンズコバ中心の切り込みに便利な ガイドローラー調整付など、 スリムなボディーに最新の機構を満載。 操作...,,カタログ参照=カタログP.238 ; PDF抽出メモ=計測器 視力測定 加 工 Automatic Lens Groover 240N136000 No.AG-5EX 自動溝掘機 EX型 新ガイドローラの採用で天地の短いレンズにも対応。 軽量＆スリムのニューデザイン。 正確な溝掘加工が簡単操作でより手軽に。 レンズコバ中心の切り込みに便利な ガイドローラー調整付など、 スリムなボディーに最新の機構を満載。 操作性と機能性を追求した ハイグレードの自動溝掘機です。 No.AG-5 溝堀機部品 No.AG-5-11 丸ベルト 240N1300 加工備品 消 耗 品 溝の深... ; 画像=AG-5EX_1.jpg,printed_pages_normalized
AG-5-11,丸ベルト,カタログP.238,丸ベルト / 眼鏡店向け作業・販売補助 / 作業や提案をスムーズにし、店頭対応の幅を広げやすい / 眼鏡店の作業や店頭提案を補助する商品です。用途に合わせて使うことで、修理・調整・販売時の対応をスムーズにしやすくします。 / 新ガイドローラの採用で天地の短いレンズにも対応。 軽量＆スリムのニューデザイン。 正確な溝掘加工が簡単操作でより手軽に。 レンズコバ中心の切り込みに便利な ガイドローラー調整付など、 スリムなボディーに最新の機構を満載。 操作性と機能性を追求した ハイグレードの自動溝掘機です。 No.AG-5 溝堀機部品 No.AG-5-11 丸ベルト 240N1300 加... / サイズ有り） 切削レンズ厚 最小 1.5 〜 11.0㎜最大 最小 24 〜 70㎜最大 切削レンズ径 （挟み換え加工 15㎜以上） 外形寸法 170（W）×210（,眼鏡店向け作業・販売補助,作業や提案をスムーズにし、店頭対応の幅を広げやすい / 眼鏡店の作業や店頭提案を補助する商品です。用途に合わせて使うことで、修理・調整・販売時の対応をスムーズにしやすくします。 / 新ガイドローラの採用で天地の短いレンズにも対応。 軽量＆スリムのニューデザイン。 正確な溝掘加工が簡単操作でより手軽に。 レンズコバ中心の切り込みに便利な ガイドローラー調整付など、 スリムなボディーに最新の機構を満載。 操作性と機能性を追求した ハイグレードの自動溝掘機です。 No.AG-5 溝堀機部品 No.AG-5-11 丸ベルト 240N1300 加...,サイズ有り） 切削レンズ厚 最小 1.5 〜 11.0㎜最大 最小 24 〜 70㎜最大 切削レンズ径 （挟み換え加工 15㎜以上） 外形寸法 170（W）×210（,カタログ参照=カタログP.238 ; PDF抽出メモ=新ガイドローラの採用で天地の短いレンズにも対応。 軽量＆スリムのニューデザイン。 正確な溝掘加工が簡単操作でより手軽に。 レンズコバ中心の切り込みに便利な ガイドローラー調整付など、 スリムなボディーに最新の機構を満載。 操作性と機能性を追求した ハイグレードの自動溝掘機です。 No.AG-5 溝堀機部品 No.AG-5-11 丸ベルト 240N1300 加工備品 消 耗 品 溝の深さ 切り込み範囲 0 〜 0.7㎜ 溝巾 標準 0.6㎜（特殊サイズ有り） 切削レンズ厚 最小 1.5 〜 11.0㎜最大 最小 24... ; 画像=AG-5-11_1.jpg,printed_pages_normalized
AP-2,オートポリッシャー,カタログP.237,オートポリッシャー / 眼鏡店向け作業・販売補助 / 作業や提案をスムーズにし、店頭対応の幅を広げやすい / 眼鏡店の作業や店頭提案を補助する商品です。用途に合わせて使うことで、修理・調整・販売時の対応をスムーズにしやすくします。,眼鏡店向け作業・販売補助,作業や提案をスムーズにし、店頭対応の幅を広げやすい / 眼鏡店の作業や店頭提案を補助する商品です。用途に合わせて使うことで、修理・調整・販売時の対応をスムーズにしやすくします。,,カタログ参照=カタログP.237 ; PDF抽出メモ=消費電力 回転数 140（W）×185（D）×275（H）㎜ 4kg AC100V 17W/50Hz 16W/60Hz Auto Polisher No.AP-2 オートポリッシャー 240N246000 ● ● ● Frame P·D Meter No.FM-1 フレームP・Dメーター フレームの個性を生かし、正確な眼鏡作りの切り札。 バフホイル、 レンズの回転などがあらゆるファクターに 最良のチューニングを求めました。 ● || ッチ設定でスピーディーに測定。 214（W）×270（D）×240（H）㎜ 6.7... ; 画像=AP-2_1.jpg,printed_pages_normalized
AP-2-2,バフホイルAP-80,カタログP.237,バフホイルAP-80 / 研磨・仕上げ / キズやくすみを整え、ツヤのある仕上がりにしやすい / フレームやパーツの研磨・仕上げに使う商品です。細かなキズやくすみを整え、ツヤのあるきれいな仕上がりに近づけます。,研磨・仕上げ,キズやくすみを整え、ツヤのある仕上がりにしやすい / フレームやパーツの研磨・仕上げに使う商品です。細かなキズやくすみを整え、ツヤのあるきれいな仕上がりに近づけます。,,カタログ参照=カタログP.237 ; PDF抽出メモ=214（W）×270（D）×240（H）㎜ 6.7kg AC100V 76W/50Hz 85W/60Hz ● ● No.AP-2用 オートポリッシャー部品 No.AP-2-2 バフホイル 240N2900 No.AP-2-3 ポリッシングスティック 240N1600 ロウ付け 関 連 タクボ 機 械 外形寸法 重量 PD 読取り範囲 1/2PD 読取り範囲 上下読取り範囲,printed_pages_normalized
AP-2-3,ポリッシングスティック,カタログP.237,ポリッシングスティック / 眼鏡店向け作業・販売補助 / 作業や提案をスムーズにし、店頭対応の幅を広げやすい / 眼鏡店の作業や店頭提案を補助する商品です。用途に合わせて使うことで、修理・調整・販売時の対応をスムーズにしやすくします。,眼鏡店向け作業・販売補助,作業や提案をスムーズにし、店頭対応の幅を広げやすい / 眼鏡店の作業や店頭提案を補助する商品です。用途に合わせて使うことで、修理・調整・販売時の対応をスムーズにしやすくします。,,カタログ参照=カタログP.237 ; PDF抽出メモ=76W/50Hz 85W/60Hz ● ● No.AP-2用 オートポリッシャー部品 No.AP-2-2 バフホイル 240N2900 No.AP-2-3 ポリッシングスティック 240N1600 ロウ付け 関 連 タクボ 機 械 外形寸法 重量 PD 読取り範囲 1/2PD 読取り範囲 上下読取り範囲 200（W）×125（D）×90（H）㎜ 1.0kg 50 〜 84㎜ 25 〜 42㎜,printed_pages_normalized
CL100-A,クリップオングラス (ライトスモーク),,クリップオングラス (ライトスモーク) / 眼鏡店向け作業・販売補助 / 作業や提案をスムーズにし、店頭対応の幅を広げやすい / 眼鏡店の作業や店頭提案を補助する商品です。用途に合わせて使うことで、修理・調整・販売時の対応をスムーズにしやすくします。,眼鏡店向け作業・販売補助,作業や提案をスムーズにし、店頭対応の幅を広げやすい / 眼鏡店の作業や店頭提案を補助する商品です。用途に合わせて使うことで、修理・調整・販売時の対応をスムーズにしやすくします。,,画像=CL100-A_1.jpg,no_catalog_evidence | no_catalog_page|printed_pages_normalized
CL100-B,クリップオングラス (スモーク),,クリップオングラス (スモーク) / 眼鏡店向け作業・販売補助 / 作業や提案をスムーズにし、店頭対応の幅を広げやすい / 眼鏡店の作業や店頭提案を補助する商品です。用途に合わせて使うことで、修理・調整・販売時の対応をスムーズにしやすくします。,眼鏡店向け作業・販売補助,作業や提案をスムーズにし、店頭対応の幅を広げやすい / 眼鏡店の作業や店頭提案を補助する商品です。用途に合わせて使うことで、修理・調整・販売時の対応をスムーズにしやすくします。,,画像=CL100-B_1.jpg,no_catalog_evidence | no_catalog_page|printed_pages_normalized
CL100-C,クリップオングラス (ダークスモーク),,クリップオングラス (ダークスモーク) / 眼鏡店向け作業・販売補助 / 作業や提案をスムーズにし、店頭対応の幅を広げやすい / 眼鏡店の作業や店頭提案を補助する商品です。用途に合わせて使うことで、修理・調整・販売時の対応をスムーズにしやすくします。,眼鏡店向け作業・販売補助,作業や提案をスムーズにし、店頭対応の幅を広げやすい / 眼鏡店の作業や店頭提案を補助する商品です。用途に合わせて使うことで、修理・調整・販売時の対応をスムーズにしやすくします。,,画像=CL100-C_1.jpg,no_catalog_evidence | no_catalog_page|printed_pages_normalized
CL100-D,クリップオングラス (ライトブラウン),,クリップオングラス (ライトブラウン) / 眼鏡店向け作業・販売補助 / 作業や提案をスムーズにし、店頭対応の幅を広げやすい / 眼鏡店の作業や店頭提案を補助する商品です。用途に合わせて使うことで、修理・調整・販売時の対応をスムーズにしやすくします。,眼鏡店向け作業・販売補助,作業や提案をスムーズにし、店頭対応の幅を広げやすい / 眼鏡店の作業や店頭提案を補助する商品です。用途に合わせて使うことで、修理・調整・販売時の対応をスムーズにしやすくします。,,画像=CL100-D_1.jpg,no_catalog_evidence | no_catalog_page|printed_pages_normalized
CL100-E,クリップオングラス (ブラウン),,クリップオングラス (ブラウン) / 眼鏡店向け作業・販売補助 / 作業や提案をスムーズにし、店頭対応の幅を広げやすい / 眼鏡店の作業や店頭提案を補助する商品です。用途に合わせて使うことで、修理・調整・販売時の対応をスムーズにしやすくします。,眼鏡店向け作業・販売補助,作業や提案をスムーズにし、店頭対応の幅を広げやすい / 眼鏡店の作業や店頭提案を補助する商品です。用途に合わせて使うことで、修理・調整・販売時の対応をスムーズにしやすくします。,,画像=CL100-E_1.jpg,no_catalog_evidence | no_catalog_page|printed_pages_normalized
CL100-F,クリップオングラス (ダークブラウン),,クリップオングラス (ダークブラウン) / 眼鏡店向け作業・販売補助 / 作業や提案をスムーズにし、店頭対応の幅を広げやすい / 眼鏡店の作業や店頭提案を補助する商品です。用途に合わせて使うことで、修理・調整・販売時の対応をスムーズにしやすくします。,眼鏡店向け作業・販売補助,作業や提案をスムーズにし、店頭対応の幅を広げやすい / 眼鏡店の作業や店頭提案を補助する商品です。用途に合わせて使うことで、修理・調整・販売時の対応をスムーズにしやすくします。,,画像=CL100-F_1.jpg,no_catalog_evidence | no_catalog_page|printed_pages_normalized
CL200-A,クリップオングラス (ライトスモーク),,クリップオングラス (ライトスモーク) / 眼鏡店向け作業・販売補助 / 作業や提案をスムーズにし、店頭対応の幅を広げやすい / 眼鏡店の作業や店頭提案を補助する商品です。用途に合わせて使うことで、修理・調整・販売時の対応をスムーズにしやすくします。,眼鏡店向け作業・販売補助,作業や提案をスムーズにし、店頭対応の幅を広げやすい / 眼鏡店の作業や店頭提案を補助する商品です。用途に合わせて使うことで、修理・調整・販売時の対応をスムーズにしやすくします。,,画像=CL200-A_1.jpg,no_catalog_evidence | no_catalog_page|printed_pages_normalized
CL200-B,クリップオングラス (スモーク),,クリップオングラス (スモーク) / 眼鏡店向け作業・販売補助 / 作業や提案をスムーズにし、店頭対応の幅を広げやすい / 眼鏡店の作業や店頭提案を補助する商品です。用途に合わせて使うことで、修理・調整・販売時の対応をスムーズにしやすくします。,眼鏡店向け作業・販売補助,作業や提案をスムーズにし、店頭対応の幅を広げやすい / 眼鏡店の作業や店頭提案を補助する商品です。用途に合わせて使うことで、修理・調整・販売時の対応をスムーズにしやすくします。,,画像=CL200-B_1.jpg,no_catalog_evidence | no_catalog_page|printed_pages_normalized
CL200-C,クリップオングラス (ダークスモーク),,クリップオングラス (ダークスモーク) / 眼鏡店向け作業・販売補助 / 作業や提案をスムーズにし、店頭対応の幅を広げやすい / 眼鏡店の作業や店頭提案を補助する商品です。用途に合わせて使うことで、修理・調整・販売時の対応をスムーズにしやすくします。,眼鏡店向け作業・販売補助,作業や提案をスムーズにし、店頭対応の幅を広げやすい / 眼鏡店の作業や店頭提案を補助する商品です。用途に合わせて使うことで、修理・調整・販売時の対応をスムーズにしやすくします。,,画像=CL200-C_1.jpg,no_catalog_evidence | no_catalog_page|printed_pages_normalized
CL200-D,クリップオングラス (ライトブラウン),,クリップオングラス (ライトブラウン) / 眼鏡店向け作業・販売補助 / 作業や提案をスムーズにし、店頭対応の幅を広げやすい / 眼鏡店の作業や店頭提案を補助する商品です。用途に合わせて使うことで、修理・調整・販売時の対応をスムーズにしやすくします。,眼鏡店向け作業・販売補助,作業や提案をスムーズにし、店頭対応の幅を広げやすい / 眼鏡店の作業や店頭提案を補助する商品です。用途に合わせて使うことで、修理・調整・販売時の対応をスムーズにしやすくします。,,画像=CL200-D_1.jpg,no_catalog_evidence | no_catalog_page|printed_pages_normalized
CL200-E,クリップオングラス (ブラウン),,クリップオングラス (ブラウン) / 眼鏡店向け作業・販売補助 / 作業や提案をスムーズにし、店頭対応の幅を広げやすい / 眼鏡店の作業や店頭提案を補助する商品です。用途に合わせて使うことで、修理・調整・販売時の対応をスムーズにしやすくします。,眼鏡店向け作業・販売補助,作業や提案をスムーズにし、店頭対応の幅を広げやすい / 眼鏡店の作業や店頭提案を補助する商品です。用途に合わせて使うことで、修理・調整・販売時の対応をスムーズにしやすくします。,,画像=CL200-E_1.jpg,no_catalog_evidence | no_catalog_page|printed_pages_normalized
CL200-F,クリップオングラス (ダークブラウン),,クリップオングラス (ダークブラウン) / 眼鏡店向け作業・販売補助 / 作業や提案をスムーズにし、店頭対応の幅を広げやすい / 眼鏡店の作業や店頭提案を補助する商品です。用途に合わせて使うことで、修理・調整・販売時の対応をスムーズにしやすくします。,眼鏡店向け作業・販売補助,作業や提案をスムーズにし、店頭対応の幅を広げやすい / 眼鏡店の作業や店頭提案を補助する商品です。用途に合わせて使うことで、修理・調整・販売時の対応をスムーズにしやすくします。,,画像=CL200-F_1.jpg,no_catalog_evidence | no_catalog_page|printed_pages_normalized
CL300-A,クリップオングラス (ライトスモーク),,クリップオングラス (ライトスモーク) / 眼鏡店向け作業・販売補助 / 作業や提案をスムーズにし、店頭対応の幅を広げやすい / 眼鏡店の作業や店頭提案を補助する商品です。用途に合わせて使うことで、修理・調整・販売時の対応をスムーズにしやすくします。,眼鏡店向け作業・販売補助,作業や提案をスムーズにし、店頭対応の幅を広げやすい / 眼鏡店の作業や店頭提案を補助する商品です。用途に合わせて使うことで、修理・調整・販売時の対応をスムーズにしやすくします。,,画像=CL300-A_1.jpg,no_catalog_evidence | no_catalog_page|printed_pages_normalized
CL300-B,クリップオングラス (スモーク),,クリップオングラス (スモーク) / 眼鏡店向け作業・販売補助 / 作業や提案をスムーズにし、店頭対応の幅を広げやすい / 眼鏡店の作業や店頭提案を補助する商品です。用途に合わせて使うことで、修理・調整・販売時の対応をスムーズにしやすくします。,眼鏡店向け作業・販売補助,作業や提案をスムーズにし、店頭対応の幅を広げやすい / 眼鏡店の作業や店頭提案を補助する商品です。用途に合わせて使うことで、修理・調整・販売時の対応をスムーズにしやすくします。,,画像=CL300-B_1.jpg,no_catalog_evidence | no_catalog_page|printed_pages_normalized
CL300-C,クリップオングラス (ダークスモーク),,クリップオングラス (ダークスモーク) / 眼鏡店向け作業・販売補助 / 作業や提案をスムーズにし、店頭対応の幅を広げやすい / 眼鏡店の作業や店頭提案を補助する商品です。用途に合わせて使うことで、修理・調整・販売時の対応をスムーズにしやすくします。,眼鏡店向け作業・販売補助,作業や提案をスムーズにし、店頭対応の幅を広げやすい / 眼鏡店の作業や店頭提案を補助する商品です。用途に合わせて使うことで、修理・調整・販売時の対応をスムーズにしやすくします。,,画像=CL300-C_1.jpg,no_catalog_evidence | no_catalog_page|printed_pages_normalized
CL300-D,クリップオングラス (ライトブラウン),,クリップオングラス (ライトブラウン) / 眼鏡店向け作業・販売補助 / 作業や提案をスムーズにし、店頭対応の幅を広げやすい / 眼鏡店の作業や店頭提案を補助する商品です。用途に合わせて使うことで、修理・調整・販売時の対応をスムーズにしやすくします。,眼鏡店向け作業・販売補助,作業や提案をスムーズにし、店頭対応の幅を広げやすい / 眼鏡店の作業や店頭提案を補助する商品です。用途に合わせて使うことで、修理・調整・販売時の対応をスムーズにしやすくします。,,画像=CL300-D_1.jpg,no_catalog_evidence | no_catalog_page|printed_pages_normalized
CL300-E,クリップオングラス (ブラウン),,クリップオングラス (ブラウン) / 眼鏡店向け作業・販売補助 / 作業や提案をスムーズにし、店頭対応の幅を広げやすい / 眼鏡店の作業や店頭提案を補助する商品です。用途に合わせて使うことで、修理・調整・販売時の対応をスムーズにしやすくします。,眼鏡店向け作業・販売補助,作業や提案をスムーズにし、店頭対応の幅を広げやすい / 眼鏡店の作業や店頭提案を補助する商品です。用途に合わせて使うことで、修理・調整・販売時の対応をスムーズにしやすくします。,,画像=CL300-E_1.jpg,no_catalog_evidence | no_catalog_page|printed_pages_normalized
CL300-F,クリップオングラス (ダークブラウン),,クリップオングラス (ダークブラウン) / 眼鏡店向け作業・販売補助 / 作業や提案をスムーズにし、店頭対応の幅を広げやすい / 眼鏡店の作業や店頭提案を補助する商品です。用途に合わせて使うことで、修理・調整・販売時の対応をスムーズにしやすくします。,眼鏡店向け作業・販売補助,作業や提案をスムーズにし、店頭対応の幅を広げやすい / 眼鏡店の作業や店頭提案を補助する商品です。用途に合わせて使うことで、修理・調整・販売時の対応をスムーズにしやすくします。,,画像=CL300-F_1.jpg,no_catalog_evidence | no_catalog_page|printed_pages_normalized
CL400-A,クリップオングラス (ライトスモーク),,クリップオングラス (ライトスモーク) / 眼鏡店向け作業・販売補助 / 作業や提案をスムーズにし、店頭対応の幅を広げやすい / 眼鏡店の作業や店頭提案を補助する商品です。用途に合わせて使うことで、修理・調整・販売時の対応をスムーズにしやすくします。,眼鏡店向け作業・販売補助,作業や提案をスムーズにし、店頭対応の幅を広げやすい / 眼鏡店の作業や店頭提案を補助する商品です。用途に合わせて使うことで、修理・調整・販売時の対応をスムーズにしやすくします。,,画像=CL400-A_1.jpg,no_catalog_evidence | no_catalog_page|printed_pages_normalized
CL400-B,クリップオングラス (スモーク),,クリップオングラス (スモーク) / 眼鏡店向け作業・販売補助 / 作業や提案をスムーズにし、店頭対応の幅を広げやすい / 眼鏡店の作業や店頭提案を補助する商品です。用途に合わせて使うことで、修理・調整・販売時の対応をスムーズにしやすくします。,眼鏡店向け作業・販売補助,作業や提案をスムーズにし、店頭対応の幅を広げやすい / 眼鏡店の作業や店頭提案を補助する商品です。用途に合わせて使うことで、修理・調整・販売時の対応をスムーズにしやすくします。,,画像=CL400-B_1.jpg,no_catalog_evidence | no_catalog_page|printed_pages_normalized
CL400-C,クリップオングラス (ダークスモーク),,クリップオングラス (ダークスモーク) / 眼鏡店向け作業・販売補助 / 作業や提案をスムーズにし、店頭対応の幅を広げやすい / 眼鏡店の作業や店頭提案を補助する商品です。用途に合わせて使うことで、修理・調整・販売時の対応をスムーズにしやすくします。,眼鏡店向け作業・販売補助,作業や提案をスムーズにし、店頭対応の幅を広げやすい / 眼鏡店の作業や店頭提案を補助する商品です。用途に合わせて使うことで、修理・調整・販売時の対応をスムーズにしやすくします。,,画像=CL400-C_1.jpg,no_catalog_evidence | no_catalog_page|printed_pages_normalized
CL400-D,クリップオングラス (ライトブラウン),,クリップオングラス (ライトブラウン) / 眼鏡店向け作業・販売補助 / 作業や提案をスムーズにし、店頭対応の幅を広げやすい / 眼鏡店の作業や店頭提案を補助する商品です。用途に合わせて使うことで、修理・調整・販売時の対応をスムーズにしやすくします。,眼鏡店向け作業・販売補助,作業や提案をスムーズにし、店頭対応の幅を広げやすい / 眼鏡店の作業や店頭提案を補助する商品です。用途に合わせて使うことで、修理・調整・販売時の対応をスムーズにしやすくします。,,画像=CL400-D_1.jpg,no_catalog_evidence | no_catalog_page|printed_pages_normalized
CL400-E,クリップオングラス (ブラウン),,クリップオングラス (ブラウン) / 眼鏡店向け作業・販売補助 / 作業や提案をスムーズにし、店頭対応の幅を広げやすい / 眼鏡店の作業や店頭提案を補助する商品です。用途に合わせて使うことで、修理・調整・販売時の対応をスムーズにしやすくします。,眼鏡店向け作業・販売補助,作業や提案をスムーズにし、店頭対応の幅を広げやすい / 眼鏡店の作業や店頭提案を補助する商品です。用途に合わせて使うことで、修理・調整・販売時の対応をスムーズにしやすくします。,,画像=CL400-E_1.jpg,no_catalog_evidence | no_catalog_page|printed_pages_normalized
CL400-F,クリップオングラス (ダークブラウン),,クリップオングラス (ダークブラウン) / 眼鏡店向け作業・販売補助 / 作業や提案をスムーズにし、店頭対応の幅を広げやすい / 眼鏡店の作業や店頭提案を補助する商品です。用途に合わせて使うことで、修理・調整・販売時の対応をスムーズにしやすくします。,眼鏡店向け作業・販売補助,作業や提案をスムーズにし、店頭対応の幅を広げやすい / 眼鏡店の作業や店頭提案を補助する商品です。用途に合わせて使うことで、修理・調整・販売時の対応をスムーズにしやすくします。,,画像=CL400-F_1.jpg,no_catalog_evidence | no_catalog_page|printed_pages_normalized
CL500-A,クリップオングラス (ライトスモーク),,クリップオングラス (ライトスモーク) / 眼鏡店向け作業・販売補助 / 作業や提案をスムーズにし、店頭対応の幅を広げやすい / 眼鏡店の作業や店頭提案を補助する商品です。用途に合わせて使うことで、修理・調整・販売時の対応をスムーズにしやすくします。,眼鏡店向け作業・販売補助,作業や提案をスムーズにし、店頭対応の幅を広げやすい / 眼鏡店の作業や店頭提案を補助する商品です。用途に合わせて使うことで、修理・調整・販売時の対応をスムーズにしやすくします。,,画像=CL500-A_1.jpg,no_catalog_evidence | no_catalog_page|printed_pages_normalized
CL500-B,クリップオングラス (スモーク),,クリップオングラス (スモーク) / 眼鏡店向け作業・販売補助 / 作業や提案をスムーズにし、店頭対応の幅を広げやすい / 眼鏡店の作業や店頭提案を補助する商品です。用途に合わせて使うことで、修理・調整・販売時の対応をスムーズにしやすくします。,眼鏡店向け作業・販売補助,作業や提案をスムーズにし、店頭対応の幅を広げやすい / 眼鏡店の作業や店頭提案を補助する商品です。用途に合わせて使うことで、修理・調整・販売時の対応をスムーズにしやすくします。,,画像=CL500-B_1.jpg,no_catalog_evidence | no_catalog_page|printed_pages_normalized
CL500-C,クリップオングラス (ダークスモーク),,クリップオングラス (ダークスモーク) / 眼鏡店向け作業・販売補助 / 作業や提案をスムーズにし、店頭対応の幅を広げやすい / 眼鏡店の作業や店頭提案を補助する商品です。用途に合わせて使うことで、修理・調整・販売時の対応をスムーズにしやすくします。,眼鏡店向け作業・販売補助,作業や提案をスムーズにし、店頭対応の幅を広げやすい / 眼鏡店の作業や店頭提案を補助する商品です。用途に合わせて使うことで、修理・調整・販売時の対応をスムーズにしやすくします。,,画像=CL500-C_1.jpg,no_catalog_evidence | no_catalog_page|printed_pages_normalized
CL500-D,クリップオングラス (ライトブラウン),,クリップオングラス (ライトブラウン) / 眼鏡店向け作業・販売補助 / 作業や提案をスムーズにし、店頭対応の幅を広げやすい / 眼鏡店の作業や店頭提案を補助する商品です。用途に合わせて使うことで、修理・調整・販売時の対応をスムーズにしやすくします。,眼鏡店向け作業・販売補助,作業や提案をスムーズにし、店頭対応の幅を広げやすい / 眼鏡店の作業や店頭提案を補助する商品です。用途に合わせて使うことで、修理・調整・販売時の対応をスムーズにしやすくします。,,画像=CL500-D_1.jpg,no_catalog_evidence | no_catalog_page|printed_pages_normalized
CL500-E,クリップオングラス (ブラウン),,クリップオングラス (ブラウン) / 眼鏡店向け作業・販売補助 / 作業や提案をスムーズにし、店頭対応の幅を広げやすい / 眼鏡店の作業や店頭提案を補助する商品です。用途に合わせて使うことで、修理・調整・販売時の対応をスムーズにしやすくします。,眼鏡店向け作業・販売補助,作業や提案をスムーズにし、店頭対応の幅を広げやすい / 眼鏡店の作業や店頭提案を補助する商品です。用途に合わせて使うことで、修理・調整・販売時の対応をスムーズにしやすくします。,,画像=CL500-E_1.jpg,no_catalog_evidence | no_catalog_page|printed_pages_normalized
CL500-F,クリップオングラス (ダークブラウン),,クリップオングラス (ダークブラウン) / 眼鏡店向け作業・販売補助 / 作業や提案をスムーズにし、店頭対応の幅を広げやすい / 眼鏡店の作業や店頭提案を補助する商品です。用途に合わせて使うことで、修理・調整・販売時の対応をスムーズにしやすくします。,眼鏡店向け作業・販売補助,作業や提案をスムーズにし、店頭対応の幅を広げやすい / 眼鏡店の作業や店頭提案を補助する商品です。用途に合わせて使うことで、修理・調整・販売時の対応をスムーズにしやすくします。,,画像=CL500-F_1.jpg,no_catalog_evidence | no_catalog_page|printed_pages_normalized
CL600-A,クリップオングラス (ライトスモーク),,クリップオングラス (ライトスモーク) / 眼鏡店向け作業・販売補助 / 作業や提案をスムーズにし、店頭対応の幅を広げやすい / 眼鏡店の作業や店頭提案を補助する商品です。用途に合わせて使うことで、修理・調整・販売時の対応をスムーズにしやすくします。,眼鏡店向け作業・販売補助,作業や提案をスムーズにし、店頭対応の幅を広げやすい / 眼鏡店の作業や店頭提案を補助する商品です。用途に合わせて使うことで、修理・調整・販売時の対応をスムーズにしやすくします。,,画像=CL600-A_1.jpg,no_catalog_evidence | no_catalog_page|printed_pages_normalized
CL600-B,クリップオングラス (スモーク),,クリップオングラス (スモーク) / 眼鏡店向け作業・販売補助 / 作業や提案をスムーズにし、店頭対応の幅を広げやすい / 眼鏡店の作業や店頭提案を補助する商品です。用途に合わせて使うことで、修理・調整・販売時の対応をスムーズにしやすくします。,眼鏡店向け作業・販売補助,作業や提案をスムーズにし、店頭対応の幅を広げやすい / 眼鏡店の作業や店頭提案を補助する商品です。用途に合わせて使うことで、修理・調整・販売時の対応をスムーズにしやすくします。,,画像=CL600-B_1.jpg,no_catalog_evidence | no_catalog_page|printed_pages_normalized
